Time	accX	accY	accZ	spinSpeed
2025-03-19 15:03:35.590	42.000	999.000	6.000	NaN
2025-03-19 15:03:35.591	42.000	998.000	5.000	NaN
2025-03-19 15:03:35.591	41.000	1000.000	4.000	NaN
2025-03-19 15:03:35.591	40.000	1000.000	4.000	NaN
2025-03-19 15:03:35.591	40.000	999.000	5.000	NaN
2025-03-19 15:03:35.591	40.000	999.000	5.000	NaN
2025-03-19 15:03:35.592	40.000	998.000	7.000	NaN
2025-03-19 15:03:35.592	40.000	996.000	10.000	NaN
2025-03-19 15:03:35.592	38.000	996.000	10.000	NaN
2025-03-19 15:03:35.592	37.000	998.000	10.000	NaN
2025-03-19 15:03:35.592	37.000	1001.000	9.000	NaN
2025-03-19 15:03:35.592	40.000	1000.000	6.000	NaN
2025-03-19 15:03:35.593	40.000	1000.000	6.000	NaN
2025-03-19 15:03:35.593	40.000	1001.000	5.000	NaN
2025-03-19 15:03:35.593	39.000	1003.000	5.000	NaN
2025-03-19 15:03:35.593	38.000	1003.000	6.000	NaN
2025-03-19 15:03:35.593	38.000	1001.000	6.000	NaN
2025-03-19 15:03:35.594	38.000	1000.000	6.000	NaN
2025-03-19 15:03:35.594	36.000	998.000	7.000	NaN
2025-03-19 15:03:35.594	36.000	998.000	7.000	NaN
2025-03-19 15:03:35.594	38.000	999.000	7.000	NaN
2025-03-19 15:03:35.594	37.000	999.000	5.000	NaN
2025-03-19 15:03:35.594	34.000	999.000	3.000	NaN
2025-03-19 15:03:35.595	33.000	1000.000	3.000	NaN
2025-03-19 15:03:35.595	36.000	999.000	3.000	NaN
2025-03-19 15:03:35.595	37.000	999.000	3.000	NaN
2025-03-19 15:03:35.595	37.000	999.000	3.000	NaN
2025-03-19 15:03:35.595	37.000	999.000	4.000	NaN
2025-03-19 15:03:35.596	38.000	997.000	5.000	NaN
2025-03-19 15:03:35.596	38.000	997.000	6.000	NaN
2025-03-19 15:03:35.596	37.000	996.000	7.000	NaN
2025-03-19 15:03:35.596	37.000	995.000	6.000	NaN
2025-03-19 15:03:35.596	38.000	998.000	6.000	NaN
2025-03-19 15:03:35.597	38.000	998.000	7.000	NaN
2025-03-19 15:03:35.597	38.000	998.000	7.000	NaN
2025-03-19 15:03:35.597	40.000	999.000	8.000	NaN
2025-03-19 15:03:35.597	40.000	1001.000	6.000	NaN
2025-03-19 15:03:35.597	40.000	1000.000	2.000	NaN
2025-03-19 15:03:35.597	40.000	999.000	3.000	NaN
2025-03-19 15:03:35.598	40.000	999.000	5.000	NaN
2025-03-19 15:03:35.598	41.000	1000.000	6.000	NaN
2025-03-19 15:03:35.598	41.000	1000.000	6.000	NaN
2025-03-19 15:03:35.598	41.000	1000.000	6.000	NaN
2025-03-19 15:03:35.598	41.000	998.000	6.000	NaN
2025-03-19 15:03:35.599	40.000	997.000	8.000	NaN
2025-03-19 15:03:35.599	39.000	996.000	9.000	NaN
2025-03-19 15:03:35.599	39.000	998.000	6.000	NaN
2025-03-19 15:03:35.599	38.000	998.000	5.000	NaN
2025-03-19 15:03:35.599	38.000	998.000	5.000	NaN
2025-03-19 15:03:35.600	37.000	999.000	6.000	NaN
2025-03-19 15:03:35.600	36.000	1001.000	6.000	NaN
2025-03-19 15:03:35.600	38.000	1000.000	6.000	NaN
2025-03-19 15:03:35.600	39.000	1001.000	6.000	NaN
2025-03-19 15:03:35.600	40.000	1002.000	6.000	NaN
2025-03-19 15:03:35.601	40.000	1003.000	5.000	NaN
2025-03-19 15:03:35.601	38.000	1003.000	3.000	NaN
2025-03-19 15:03:35.601	38.000	1003.000	3.000	NaN
2025-03-19 15:03:35.601	38.000	1004.000	2.000	NaN
2025-03-19 15:03:35.601	35.000	1003.000	3.000	NaN
2025-03-19 15:03:35.601	34.000	1002.000	4.000	NaN
2025-03-19 15:03:35.602	36.000	1002.000	6.000	NaN
2025-03-19 15:03:35.602	38.000	1001.000	6.000	NaN
2025-03-19 15:03:35.602	40.000	1000.000	6.000	NaN
2025-03-19 15:03:35.602	40.000	1000.000	6.000	NaN
2025-03-19 15:03:35.602	41.000	1001.000	5.000	NaN
2025-03-19 15:03:35.602	42.000	1000.000	5.000	NaN
2025-03-19 15:03:35.603	41.000	1000.000	6.000	NaN
2025-03-19 15:03:35.603	39.000	1000.000	6.000	NaN
2025-03-19 15:03:35.603	38.000	1000.000	5.000	NaN
2025-03-19 15:03:35.603	37.000	999.000	5.000	NaN
2025-03-19 15:03:35.603	37.000	999.000	5.000	NaN
2025-03-19 15:03:35.604	38.000	997.000	4.000	NaN
2025-03-19 15:03:35.604	38.000	999.000	5.000	NaN
2025-03-19 15:03:35.604	38.000	999.000	5.000	NaN
2025-03-19 15:03:35.604	39.000	999.000	5.000	NaN
2025-03-19 15:03:35.604	39.000	1002.000	4.000	NaN
2025-03-19 15:03:35.604	40.000	1003.000	3.000	NaN
2025-03-19 15:03:35.605	40.000	1003.000	3.000	NaN
2025-03-19 15:03:35.605	40.000	1003.000	4.000	NaN
2025-03-19 15:03:35.605	39.000	1000.000	4.000	NaN
2025-03-19 15:03:35.605	38.000	997.000	5.000	NaN
2025-03-19 15:03:35.605	37.000	996.000	7.000	NaN
2025-03-19 15:03:35.605	36.000	999.000	8.000	NaN
2025-03-19 15:03:35.606	38.000	1001.000	7.000	NaN
2025-03-19 15:03:35.606	40.000	1001.000	6.000	NaN
2025-03-19 15:03:35.606	40.000	1001.000	6.000	NaN
2025-03-19 15:03:35.606	38.000	1002.000	6.000	NaN
2025-03-19 15:03:35.606	37.000	1003.000	6.000	NaN
2025-03-19 15:03:35.607	38.000	1003.000	6.000	NaN
2025-03-19 15:03:35.607	41.000	1002.000	4.000	NaN
2025-03-19 15:03:35.607	41.000	1000.000	3.000	NaN
2025-03-19 15:03:35.607	39.000	1000.000	4.000	NaN
2025-03-19 15:03:35.607	39.000	1000.000	4.000	NaN
2025-03-19 15:03:35.607	37.000	1001.000	7.000	NaN
2025-03-19 15:03:35.608	37.000	1003.000	7.000	NaN
2025-03-19 15:03:35.608	36.000	1003.000	7.000	NaN
2025-03-19 15:03:35.608	35.000	1002.000	8.000	NaN
2025-03-19 15:03:35.608	35.000	1003.000	8.000	NaN
2025-03-19 15:03:35.608	36.000	1004.000	7.000	NaN
2025-03-19 15:03:35.608	36.000	1004.000	7.000	NaN
2025-03-19 15:03:35.609	36.000	1003.000	5.000	NaN
